ID,score,area,gender,age,using_time,balance,usage,card,Active,salary,Purchase
67,,Taichung,,34,1,101633.04,1,1,0,110431.51,0
68,735,Taichung,,43,10,123180.01,2,,1,196673.28,0
73,657,,Female,37,,163607.18,1,0,1,,0
74,,Taichung,Female,25,5,157780.84,2,1,,,0
75,519,Taipei,Male,36,,0,,,,145562.4,0
77,,Taipei,,55,,0,2,,1,,0
78,678,,Female,,,0,1,1,,148210.64,0
79,757,,Male,33,5,77253.22,,0,1,,0
80,416,Taichung,,41,10,122189.66,,1,0,98301.61,0
83,,Taipei,,36,3,,2,0,0,26019.59,0
85,493,Taipei,,46,,,2,,0,,0
86,,Tainan,Female,75,10,,2,1,,,0
87,750,,,22,3,121681.82,,1,,,1
88,729,Taipei,Male,30,9,0,,,0,,0
90,635,Taichung,Female,28,3,81623.67,,1,1,156791.36,0
91,647,Tainan,,,5,0,3,1,1,174205.22,1
92,808,Taipei,Male,45,7,118626.55,2,,,147132.46,0
93,524,,Female,36,,,2,1,0,109614.57,0
94,769,Taipei,,29,8,0,2,,1,172290.61,0
95,730,Tainan,Male,42,4,0,2,0,1,85982.47,0
96,,Tainan,Male,35,10,176273.95,1,0,,121277.78,0
97,,Tainan,Male,,9,,1,0,,,0
98,814,Taichung,,,8,97086.4,2,1,1,,0
100,,,,34,9,0,,,0,6534.18,0
102,,Taipei,Female,44,6,0,2,0,0,,0
105,670,Tainan,Female,65,,0,1,,1,177655.68,1
106,,,Female,46,4,107073.27,2,1,,30984.59,1
107,,Taichung,,32,1,88938.62,1,,1,10054.53,0
108,785,Taichung,Female,,,99806.85,1,,1,36976.52,0
109,605,Tainan,,,5,,1,0,,71862.79,0
110,479,Taichung,Male,35,,92833.89,1,1,0,99449.86,1
111,685,Taichung,Male,,,,,,,,0
112,538,Taichung,,,7,,2,1,,27231.26,0
113,562,,Male,,2,100238.35,1,0,,,0
114,,Tainan,Male,36,9,106190.55,,0,1,,0
115,721,Taichung,,28,9,154475.54,2,,1,,1
116,,Taichung,,,9,,2,,,,0
117,668,Taichung,,37,6,,1,1,,115638.29,0
119,524,Taichung,Female,31,8,107818.63,1,1,0,199725.39,1
120,699,Taichung,Male,34,4,,,,,120834.48,0
121,,Taipei,Male,34,8,129433.34,2,0,,38131.77,0
122,,,,,6,120193.42,,0,,100130.95,0
123,656,,Female,39,,0,2,,0,141069.88,0
126,,Taipei,,,9,,1,1,,110265.24,1
127,549,,Female,,1,0,,0,1,8636.05,1
129,828,Taipei,Female,41,7,,2,,0,171378.77,0
131,758,Taipei,Female,34,,0,2,1,1,,0
132,795,Taichung,,33,9,,1,,1,114935.21,0
133,687,Taipei,Male,,9,122570.87,,1,,,0
134,686,Taipei,,25,1,0,2,,1,16459.37,0
135,789,Taichung,Male,39,7,124828.46,,1,1,,0
137,,Taichung,Female,34,5,63663.93,1,,1,,0
138,,,,40,2,133463.1,,,,93165.34,0
139,584,Tainan,Female,48,2,213146.2,1,1,0,75161.25,1
140,,,Female,35,1,,2,0,1,8590.83,1
141,756,,Male,,,137452.09,1,1,0,,0
142,663,Taipei,Male,34,7,,2,,1,180427.24,0
143,,Taipei,,43,5,,1,1,,193318.33,0
144,793,,Male,52,2,,1,1,,159123.82,1
145,691,,,,5,,1,1,0,126213.84,1
146,485,Tainan,Female,21,5,113157.22,1,,1,,0
147,635,Tainan,Female,29,,138296.94,,1,,141075.51,0
148,650,,Male,37,,106967.18,1,0,,24495.03,0
149,735,Taipei,Male,44,9,120681.63,1,1,0,74836.34,0
150,,Taipei,Male,,0,,,,,878.87,0
151,754,Tainan,,,,,2,1,0,,0
152,535,Taipei,Female,48,9,0,,1,0,,1
154,,Taipei,Male,37,2,127609.59,1,,0,,0
156,706,Tainan,Male,57,,0,1,1,,17941.16,1
157,758,Taipei,,33,7,,2,0,0,,0
158,,Tainan,,,2,,2,,,,0
159,646,Taipei,,73,6,97259.25,1,0,1,,0
160,631,Taichung,Female,33,4,,1,0,0,112687.57,0
161,717,,Female,,6,,,0,1,,0
162,,Taipei,,30,2,0,,1,,,0
163,800,Taipei,,49,7,108007.36,1,0,0,,0
165,683,,Male,29,0,133702.89,1,1,0,,1
166,660,Taichung,Male,31,9,125189.75,2,1,,139874.43,0
167,,,Female,24,7,,1,1,,162503.48,1
168,615,Tainan,,41,9,109013.23,1,,0,196499.96,0
169,667,Tainan,Female,,2,0,2,1,0,40721.24,1
170,682,,,24,9,,2,0,0,53134.3,0
171,484,Taipei,Female,,4,,,1,0,164017.89,0
172,,Taichung,Male,27,5,95826.49,,1,,155996.96,0
173,480,Taichung,,44,,,,1,0,,1
174,578,,Male,30,,169462.09,1,1,,112187.11,0
175,,Taipei,Male,40,,,,1,1,146457.83,0
176,,Tainan,Female,35,,,,1,1,27286.1,0
177,510,Taipei,Female,30,0,0,,,1,,0
179,597,Tainan,,,,101993.12,1,0,,94774.12,0
181,850,Tainan,Female,45,2,122311.21,,1,1,,0
182,510,Taipei,Male,65,2,0,2,1,1,48071.61,0
183,,Taichung,Female,45,1,,,1,0,,0
184,636,Taipei,,42,2,0,2,1,1,55470.78,0
185,804,,Female,50,4,0,,,1,,1
186,514,,Male,32,,,2,,,95857.18,0
187,730,Taipei,,,1,99010.67,1,1,0,194945.8,0
188,525,,,,0,0,,0,,131521.72,0
189,616,Tainan,,30,5,0,,0,1,196108.51,0
191,,Taipei,Female,,8,56214.85,,0,,92982.61,1
192,,Taipei,Female,36,3,84327.77,,1,,17675.36,0
193,479,Taipei,Male,40,,0,,0,0,114996.43,0
195,580,Tainan,,,9,,,1,0,128077.8,0
196,807,Taipei,,35,3,174790.15,,1,1,600.36,0
197,,Tainan,Female,32,6,0,2,1,1,43001.46,0
198,,,,37,3,107720.64,1,,1,158591.12,0
199,501,Taipei,,57,,0,2,1,,47847.19,0
200,521,,Male,35,6,96423.84,,1,0,,0
201,850,,Male,30,2,141040.01,,1,1,5978.2,0
202,759,Taipei,,42,4,105420.18,1,0,1,,0
203,516,,Male,50,5,0,,0,,146145.93,1
204,711,Taipei,Female,38,2,129022.06,2,,1,,1
205,,Tainan,Male,33,3,176666.62,1,1,0,94670.77,0
206,550,,,37,,0,1,1,,,0
208,,Taipei,Male,34,5,134954.53,1,1,,151954.39,0
209,643,Taipei,,45,5,,,,,,1
211,689,Taichung,,33,2,161814.64,2,1,0,169381.9,0
213,620,,,41,9,0,,,0,,0
214,676,,Female,34,1,63095.01,1,1,1,,0
215,,,Male,,,,2,0,0,60427.3,0
217,695,Taipei,Male,46,7,49512.55,1,,0,,0
218,,Tainan,Female,33,9,0,,0,0,176576.62,0
219,,,,43,,,,1,0,34888.04,1
220,592,Taipei,,54,8,0,1,1,,,1
221,726,,,31,,114722.05,2,1,,98178.57,0
222,514,Tainan,,,,0,1,0,1,125010.24,0
225,,Taichung,Male,,6,,1,1,1,108872.45,1
226,,Taipei,Male,,4,,,1,0,198252.88,0
227,694,Taipei,Female,30,9,0,,,1,26960.31,0
228,,Taichung,Female,39,,74596.15,3,1,1,85746.52,1
229,751,Taichung,Male,50,,96888.39,,1,,,1
230,594,Taichung,Female,29,3,130830.22,1,1,,61048.53,0
231,,Taipei,Male,72,1,0,2,,1,,0
234,767,Taichung,Male,,3,119714.25,,0,1,150135.38,0
236,763,,Male,,6,100160.75,1,1,0,33462.94,1
237,712,Taipei,Female,,2,0,1,1,,144375,0
238,539,Taichung,Female,43,3,116220.5,,1,0,,1
239,668,Taipei,Female,46,2,,3,1,0,89048.46,1
241,662,Tainan,Male,,,,2,1,0,136259.65,0
242,,Taichung,Female,39,,116803.8,1,1,0,124052.97,0
243,703,Taipei,Male,37,8,105961.68,2,,1,74158.8,0
244,659,Taichung,Male,67,6,117411.6,,1,,45071.09,1
246,,Taipei,Female,,10,123497.58,1,,0,131953.23,1
249,,Taichung,,24,,103097.85,,1,1,157577.29,0
250,739,Taichung,Male,54,,126418.14,,,0,,1
251,771,Taichung,,36,5,,1,0,0,99805.99,0
252,,Tainan,,,,0,2,1,,97932.68,0
253,,Taipei,Female,79,0,0,2,0,1,170968.99,0
254,544,,Male,37,2,,1,1,1,57558.95,0
255,696,Tainan,Male,,8,0,1,0,0,176713.47,0
256,,,,41,0,,,0,1,,0
257,727,,Male,34,,0,2,1,1,198637.34,0
258,,Taichung,,,,37266.67,2,0,0,156917.12,0
259,,Taipei,,30,,127992.25,,1,1,50457.2,0
260,,Taichung,,38,3,54901.01,,,1,140075.55,0
261,732,Taichung,,42,9,,,1,,65323.11,0
262,726,,Female,48,6,99906.19,,,0,,0
264,,Taipei,Female,26,0,110654.02,,0,1,111879.21,0
265,738,Tainan,,,9,79019.8,1,1,,,0
268,,Taipei,Male,36,7,0,2,,0,13898.31,0
269,549,Tainan,,39,7,0,1,0,0,81259.25,1
270,791,,Female,35,7,,1,,0,,0
271,650,Tainan,Male,,9,0,2,0,1,191599.67,0
272,733,Taichung,Male,34,,100337.96,3,1,,,1
273,,Taichung,,34,,,2,,1,,0
274,707,Taipei,,30,,0,,1,0,33159.37,0
276,706,Tainan,Female,37,,0,2,1,1,110899.3,0
278,777,Taipei,Female,53,,,,,,189992.97,0
279,646,,Male,35,6,84026.86,,,1,164255.69,0
280,714,,Male,46,1,0,,1,,152167.79,1
281,782,Taipei,Male,,,0,2,1,1,33949.67,0
282,775,,Male,,,0,2,1,,,0
283,479,Taichung,Male,35,4,138718.92,1,,,,1
284,807,,Male,42,,,1,1,,25885.72,0
285,799,Taipei,,22,8,174185.98,2,0,1,,0
287,,Tainan,Male,29,5,103907.28,1,,,161229.84,0
288,475,Taipei,Female,,8,119023.28,1,1,,100816.29,0
289,744,Tainan,Female,,5,166297.89,,1,1,181694.44,0
290,588,Tainan,Male,34,10,0,2,1,0,,0
292,,Tainan,Female,41,5,94521.17,2,1,0,194926.86,0
293,,Taipei,Male,27,,0,2,1,0,51285.49,0
295,681,Taipei,Male,,,0,2,1,1,112491.96,0
296,,Taipei,Male,,2,135903.33,1,1,0,73656.38,0
297,,Taipei,Female,31,4,,1,,1,106636.89,0
299,511,Taipei,Male,,,149117.31,,1,1,162599.51,0
300,627,Taipei,Male,,,0,2,,1,103737.82,0
301,694,Taipei,Female,,,0,2,,0,160990.27,0
302,616,Tainan,,36,,132311.71,1,0,,15462.84,0
303,687,Taipei,Male,35,8,0,2,1,0,10334.05,0
304,712,Taipei,Female,33,6,0,2,1,1,190686.16,0
305,553,,,33,4,,1,0,0,94440.45,0
306,,Taipei,,31,1,119266.69,1,,,,0
307,731,Taipei,Male,,,0,,1,,170034.95,1
308,,Taichung,Male,35,7,156847.29,,1,,31824.29,0
309,614,Taipei,Male,50,,,1,1,,,1
310,438,Taichung,Male,31,8,78398.69,1,,0,44937.01,0
313,,Taipei,,,,0,2,0,,171463.83,0
315,744,Tainan,Male,,,,1,,1,,0
317,559,Taipei,Male,49,2,147069.78,,1,0,120540.83,1
318,706,Tainan,,42,9,0,2,1,,,0
320,429,Taipei,Male,24,4,95741.75,1,1,0,46170.75,0
321,525,Tainan,,57,2,145965.33,1,1,,64448.36,0
322,,Taipei,,30,8,,,1,1,16278.97,0
323,749,,Male,40,,,1,,0,182855.42,1
325,734,Taipei,Male,30,,,2,1,,107640.25,0
326,716,,Male,35,,144428.87,1,1,0,134132.65,0
327,,Taipei,,35,,0,2,,0,,0
328,,Taipei,,46,9,95441.27,1,1,0,108761.05,1
329,671,,Male,35,1,144848.74,1,1,1,179012.3,0
330,664,Taichung,,,7,116244.14,2,,1,95145.14,0
331,656,Taipei,Male,50,7,0,2,,,72143.44,0
332,,Tainan,Female,,1,146502.07,,1,0,19162.89,0
333,663,Taichung,,,2,117028.6,2,,,144680.18,0
334,,,Female,30,8,112013.81,1,1,0,177772.03,1
335,626,Tainan,,37,6,108269.37,1,1,0,,0
336,485,,Male,,7,,1,1,,116828.51,1
337,659,,Female,,3,150923.74,2,,1,174652.51,0
338,649,,,33,2,0,2,1,0,2010.98,0
339,805,,Female,,5,165272.13,1,,,14109.85,1
340,,Taichung,Female,,10,,1,1,0,43527.4,1
342,659,Taipei,Male,31,4,,1,0,0,,0
344,543,Taipei,,,8,0,,0,,127587.22,0
345,,Taipei,Female,25,7,,2,1,0,30380.12,0
346,840,Taipei,,,7,,2,,0,90908.95,0
347,,Taichung,,34,9,106937.05,,1,0,138275.01,0
348,643,Taichung,Male,59,3,,1,,1,32171.79,0
349,654,Taichung,Female,32,1,,,1,,,0
350,,,Male,39,5,,2,1,1,129892.93,0
351,659,Tainan,Male,,3,107594.11,2,,1,102416.84,0
352,762,Tainan,Male,,,81273.13,1,1,1,18719.67,0
353,568,Tainan,,32,7,169399.6,1,1,,61936.22,0
354,,,Male,25,,,2,1,,,0
355,613,Taipei,,45,1,187841.99,2,1,1,,0
356,539,Taipei,,30,0,0,2,,0,,0
357,850,,Female,,,,2,,1,,0
359,737,Taipei,,,1,,1,,1,,0
360,,,Male,,3,0,2,0,1,32790.02,0
361,706,Tainan,Male,28,,0,2,0,1,181543.67,0
362,,,,45,2,150842.93,1,0,1,2319.96,1
363,,Taipei,Female,50,9,102535.57,,,1,189543.19,0
365,640,,,68,9,,2,1,1,199493.38,0
366,628,,Female,,3,0,1,,1,188193.25,0
368,460,Taichung,,35,,102742.91,2,1,,189339.6,0
369,636,,Male,,2,40105.51,,0,1,53512.16,0
370,,Taipei,,29,2,,1,1,0,34004.44,0
371,801,Tainan,Male,42,,141947.67,1,1,,,0
372,640,Taichung,Female,75,1,106307.91,2,0,1,113428.77,0
374,802,Taichung,Male,31,1,125013.72,,,,,0
375,,Taichung,Male,35,,58469.37,2,1,,172459.39,0
376,,,Female,39,8,0,,0,1,21016,0
377,,Taichung,Male,,,,3,1,1,,1
378,572,,Male,35,,152390.26,1,1,0,128123.66,0
379,,Tainan,Female,,,34013.63,1,1,,19570.63,0
381,483,Taipei,Female,50,9,,,1,1,111020.24,0
382,690,Taipei,,36,7,101583.11,2,,0,123775.15,0
383,492,Taichung,Female,30,,77168.87,2,0,1,146700.22,0
384,,Taichung,,28,8,124695.72,2,,0,,0
386,560,Taipei,,,,,1,1,1,15928.49,0
389,709,,,,2,0,,0,,162922.65,0
390,,Taipei,,21,,161525.96,2,1,0,9262.77,0
391,712,Taichung,,,,147199.07,,1,1,84932.4,0
392,752,Taichung,,38,3,183102.29,1,1,,71557.12,0
393,648,Tainan,,46,9,127209,,1,,77405.95,1
394,556,Tainan,,38,8,0,2,0,,417.41,1
395,594,Tainan,Female,,0,,1,,,71405.17,0
396,645,,Female,37,2,136925.09,2,0,1,153400.24,0
397,557,Taipei,Male,,,54503.55,,,1,,0
398,,Taichung,,,8,155726.85,1,,0,67789.99,0
399,701,,Female,,9,,,0,1,145894.9,0
401,605,Taipei,Male,52,1,,1,,,,0
403,751,,Male,52,8,,2,0,1,179291.85,0
405,,,,,8,,2,,1,112239.03,0
406,718,,Male,36,9,0,1,,0,,0
407,538,Tainan,Female,49,9,141434.04,1,,0,173779.25,1
408,,Tainan,Female,37,4,0,,1,0,125696.26,0
409,668,Taichung,Male,,10,152958.29,,,,159585.61,0
410,537,Taichung,Female,41,,138306.34,1,,,,0
413,745,Tainan,Female,31,,124328.84,,,1,,0
414,693,Taichung,Female,41,9,181461.48,,1,1,187929.43,1
415,795,Tainan,Male,35,8,0,2,1,,167155.36,0
416,626,Tainan,,26,,,2,0,0,191420.71,0
417,487,Taichung,,61,5,110368.03,,0,0,,1
418,556,Taipei,Female,39,9,,1,1,1,94898.1,0
419,643,Taipei,,46,,0,2,0,,106781.59,0
420,605,,Female,28,6,0,2,0,0,159508.52,0
422,,,Female,38,2,0,2,1,,,0
423,535,Taichung,Male,40,7,,1,1,,8128.32,1
425,596,,,,9,0,1,1,0,48963.59,0
426,648,Taipei,,,9,,,1,0,,0
428,,,,45,0,80793.58,,1,1,27474.81,0
431,,,Male,57,3,,1,1,1,72467.99,1
432,,Taichung,Male,41,2,,2,,,199645.45,0
433,548,Taichung,,33,0,101084.36,1,,,,0
435,683,Taipei,Male,33,8,0,1,0,,73564.44,0
436,,Taipei,,51,3,99286.98,1,0,,85578.63,0
437,,Taichung,Female,30,4,,2,1,0,,0
439,800,,Female,38,2,,2,1,0,,0
440,464,Taichung,Female,,3,85679.25,1,1,,164104.74,0
442,790,Taipei,Female,,,,2,1,,84126.75,0
443,534,Taipei,,34,7,121551.58,,1,1,,0
444,745,Taipei,Male,46,2,122220.19,1,1,1,118024.1,0
445,553,Tainan,Male,47,3,116528.15,,0,0,,1
446,748,,Female,,,77780.29,,0,,,0
447,722,Taipei,Male,,2,0,1,0,0,,0
448,501,,Male,,4,,,,1,100433.83,0
449,675,,,,,,1,0,0,138777,1
451,494,Taichung,Female,38,7,174937.64,,,0,40084.32,0
452,850,,Male,40,,0,,,,119232.33,0
453,592,Tainan,Male,,,110071.1,,0,0,43921.36,0
454,590,Tainan,Female,44,3,,1,1,0,62222.81,0
455,,Taipei,,39,6,127357.76,1,0,,56577,0
456,,Taipei,Male,36,5,0,2,,,164253.35,0
457,733,Taipei,Male,33,3,0,1,1,,,0
458,,,Male,38,3,0,,,0,68487.51,0
459,514,Taichung,,43,,95556.31,,0,1,,1
460,637,Tainan,Male,37,,0,1,,1,186062.36,0
461,468,,Male,29,1,,2,1,,195711.16,0
462,,,Male,39,3,0,2,,,36692.17,0
463,509,Tainan,,25,3,108738.71,,1,0,106920.57,0
464,662,Taipei,Female,32,4,133950.37,1,1,1,48725.68,1
465,,,,26,,0,,1,,167036.94,0
466,608,,Male,33,9,89968.69,1,1,,,0
467,,Tainan,Female,32,,0,2,1,,18924.92,0
468,816,Taichung,Female,,5,,3,1,,71905.77,1
469,536,Taipei,Male,,8,0,2,1,0,64833.28,0
470,,,Male,35,3,0,2,1,1,,0
471,631,,Male,,,134169.62,,1,1,176730.02,0
472,703,Taipei,,37,,149762.08,1,1,,20629.4,1
473,774,,Male,26,2,,1,1,0,28415.36,0
474,785,Taipei,Male,28,8,0,,1,,77231.27,0
475,571,,,33,,,2,,0,,0
476,,,Male,46,,141078.37,1,,0,34580.8,1
477,605,Taichung,Female,31,1,,1,,,,0
478,,Taipei,,40,,,2,,0,147358.27,0
479,569,Taipei,Male,38,,0,1,1,1,108469.2,0
480,658,Taipei,Male,29,4,80262.6,1,,1,20612.82,0
481,788,Tainan,Male,34,6,156478.62,1,,,181196.76,0
482,525,,Female,,5,0,2,1,0,,0
483,798,Taipei,Male,37,8,0,3,0,,110783.28,0
484,,Taichung,Male,,,115217.99,2,1,0,144995.33,0
485,615,Tainan,Male,61,9,0,,1,0,150227.85,1
486,,Taipei,,35,0,155470.55,1,,1,,0
487,,,Male,,7,0,2,,,75248.3,0
488,542,,Male,39,3,135096.77,,,1,14353.43,1
489,,Taipei,,,2,0,,0,1,130486.57,0
490,714,Taichung,,55,9,180075.22,,,1,100127.71,0
491,591,Tainan,Male,29,1,97541.24,1,1,,,0
492,710,Taipei,,41,,,,,1,9983.88,0
493,639,Taipei,Female,,4,81550.94,2,,1,118974.77,0
494,,Taipei,Female,,,0,1,0,0,194998.34,1
495,673,,Female,38,2,170061.92,2,,0,,1
496,765,Taichung,Male,,8,92310.54,2,1,1,,0
497,622,,Female,,6,,2,1,0,,0
499,757,Taichung,,26,8,121581.56,2,1,,127059.04,0
500,,Taipei,Female,,8,,,,,116503.92,1
501,555,Tainan,,,4,0,2,,,54405.79,0
502,692,Taipei,,54,,0,2,1,1,88721.84,0
503,774,Taipei,Male,60,5,,,,,74135.48,1
504,638,Tainan,,44,9,77637.35,2,1,1,111346.22,0
505,543,,,,4,,,,0,,0
507,,Taichung,Male,30,7,,1,,0,,0
508,684,Taichung,Female,40,6,137326.65,1,,0,,0
511,524,Taichung,Female,31,10,,2,1,1,161811.23,0
512,632,Taichung,Female,,6,86569.76,,1,0,98090.91,0
513,735,,,,5,0,2,0,,,0
514,734,Taipei,Male,,6,133598.4,,1,,13107.24,0
515,605,Taipei,Female,,,136188.78,1,1,,67110.59,1
516,793,Tainan,Male,38,9,0,2,1,0,88225.02,0
517,468,Taipei,Female,56,10,0,3,0,1,62256.87,1
519,698,Taipei,Male,48,4,101238.24,,,1,,1
520,707,Taipei,Male,58,6,,1,,,,0
521,850,,Female,35,,,1,1,,,1
524,696,,Male,,,101160.99,1,1,1,,0
526,,Taipei,Female,31,2,,2,1,1,112349.51,0
528,610,Taipei,,26,8,,2,,0,166031.08,0
529,572,Taichung,,48,3,152827.99,1,,,,1
531,519,Tainan,,57,2,119035.35,2,1,1,29871.79,0
532,702,Tainan,Female,26,4,135219.57,,,1,59747.63,0
533,729,Taipei,Male,32,6,93694.42,1,,1,79919.13,0
534,543,Tainan,Male,35,10,59408.63,,1,,,0
536,608,Taipei,,59,,0,1,1,0,70649.64,1
537,639,Taichung,Male,35,10,128173.9,2,1,,,0
538,,Tainan,Male,34,9,0,2,,0,127569.8,0
539,564,Taichung,,62,5,,3,0,1,18260.98,1
541,833,Taipei,Male,37,8,,2,1,1,136129.49,0
543,,Taipei,Female,,4,64740.12,1,1,1,,0
544,721,Tainan,,51,0,169312.13,,,0,,1
545,,Taipei,Female,,7,,,,,87822.14,1
546,,,,,2,112652.08,,1,0,,0
547,587,Taipei,Male,38,0,,,,0,47414.15,0
549,,Taipei,Male,,,122451.46,2,1,1,75808.1,0
550,749,,,24,1,0,3,1,1,,0
552,674,,Male,,6,106901.94,1,1,1,2079.2,1
553,685,Tainan,Female,25,,128509.63,,1,,121562.33,0
555,,Taichung,,33,3,129834.67,1,1,,,0
558,598,,Male,41,3,91536.93,,1,,,1
559,,Tainan,Male,53,,,2,1,1,38913.68,0
560,,Tainan,Female,70,5,0,1,,1,705.18,0
561,584,Taichung,Female,29,7,105204.01,1,,1,138490.03,0
562,,Tainan,Male,61,1,152968.73,1,,1,82970.69,0
565,689,,,38,,121021.05,,1,,12182.15,0
567,438,Tainan,Female,54,2,0,1,0,0,191763.07,1
568,687,,Female,63,,137715.66,,,1,37938.74,0
569,,Taichung,Male,31,5,121192.22,2,1,1,74890.58,0
570,761,Taipei,Male,31,,0,3,,1,,0
571,,Taipei,,,1,,2,,,,0
572,651,Taipei,Male,,1,0,,1,0,67740.08,1
573,745,Taipei,Male,35,9,92566.53,2,,,161519.77,0
575,,,Male,40,3,110929.96,1,1,1,30876.84,0
576,546,,,,8,,,1,,14858.1,0
577,439,Tainan,Female,32,,138901.61,,1,0,75685.97,0
578,755,Taipei,Male,30,4,123217.66,2,0,1,144183.1,0
579,593,Taipei,Female,41,6,,1,1,,,0
580,701,Taipei,,39,,0,,1,1,82526.92,0
581,,Tainan,Male,36,8,0,2,1,0,169161.46,0
582,,Tainan,Female,33,2,,,0,1,109291.39,1
583,,Tainan,,57,3,0,2,0,1,,0
584,547,Taichung,Female,30,9,72392.41,,1,,77077.14,0
585,647,Taichung,Female,51,1,,2,0,0,54954.51,1
586,760,Taipei,Female,51,2,100946.71,1,0,0,,1
587,,Tainan,Male,53,,,,1,0,35588.07,1
588,725,Taipei,,44,5,0,1,1,1,117356.14,0
590,519,,,47,6,,,0,0,,1
591,713,Taichung,Female,38,,144606.22,1,,1,56594.36,1
592,,Taipei,Male,,8,,,1,0,1299.75,0
594,,,,,4,,1,0,0,146326.45,0
596,611,,Female,,,114206.84,1,1,,164061.6,0
597,685,Tainan,Male,43,9,,2,,0,107811.28,0
598,,Taichung,Male,,9,111574.41,1,1,1,30838.51,0
599,683,,Female,57,,,1,,,9221.78,1
600,484,Taichung,,,4,,1,,1,33738.27,0
602,762,Tainan,Female,26,,,2,,,,0
603,687,Taipei,Female,72,9,,1,0,,69829.4,0
604,566,Taipei,Male,30,5,,1,1,0,54926.51,1
605,702,Taipei,Male,37,10,150525.8,1,1,1,94728.49,0
606,601,Taipei,Male,29,9,0,,,,80393.27,0
607,699,Taipei,,,4,,2,,,111307.98,0
608,584,Taipei,,,,0,,1,0,,0
609,,Taipei,Male,35,,,2,1,1,,0
610,,Taichung,Female,51,2,111018.98,1,,0,86410.28,0
611,495,Taipei,Male,30,10,129755.99,1,0,,172749.65,0
612,650,Taipei,Female,,6,0,2,1,0,1002.39,0
613,605,Taipei,,64,2,129555.7,1,1,1,13601.79,0
614,667,,Male,38,1,87202.38,1,1,1,77866.91,0
615,688,,,,8,,1,1,1,175296.76,0
616,727,,Female,31,0,0,1,1,,121751.04,1
617,754,Tainan,,,6,170184.99,,1,0,,0
618,,Taichung,Female,62,,,,1,,193437.89,1
619,546,Tainan,,42,,,1,1,1,86945,0
620,673,Tainan,,37,,,,,1,183318.79,0
622,,Tainan,Female,40,,167878.5,1,,,151887.16,0
623,535,,Female,,,,2,1,,75888.65,0
624,,Taichung,Male,36,,,,0,,,0
626,850,Tainan,Male,35,7,,,0,0,126355.8,0
627,427,Taipei,Male,29,1,,1,1,1,93839.3,0
628,752,Taipei,Male,,2,78653.84,1,,0,7698.6,0
629,649,,Male,47,1,0,,1,1,145593.85,0
630,799,,Female,28,,142253.65,1,1,,45042.56,0
