score,age,using_time,balance,usage,card,Active,salary,num_null,score_isna,gender_isna,age_isna,using_time_isna,balance_isna,usage_isna,card_isna,Active_isna,salary_isna,area_Taichung,area_Tainan,area_Taipei,gender_Female,gender_Male
808.0,45.0,7.0,0.682962658987492,2.0,1.0,1.0,0.9851082882508485,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1
524.0,36.0,5.0,0.2774022604831444,2.0,1.0,0.0,0.20407761836819843,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0
769.0,29.0,8.0,-1.5460191025156582,2.0,1.0,1.0,1.5088394135222376,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0
730.0,42.0,4.0,-1.5460191025156582,2.0,0.0,1.0,-0.28788487988886735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
653.0,35.0,10.0,1.766151904549103,1.0,0.0,1.0,0.4468771126703039,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1
653.0,37.0,9.0,0.2774022604831444,1.0,0.0,1.0,0.0032995001041632253,5,1,0,1,0,1,0,0,1,1,0,1,0,0,1
814.0,37.0,8.0,0.27822525837993745,2.0,1.0,1.0,0.0032995001041632253,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0
653.0,34.0,9.0,-1.5460191025156582,1.0,1.0,0.0,-1.941803881190142,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0
653.0,44.0,6.0,-1.5460191025156582,2.0,0.0,0.0,0.0032995001041632253,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0
670.0,65.0,5.0,-1.5460191025156582,1.0,1.0,1.0,1.6205270435053554,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0
653.0,46.0,4.0,0.46587761010476625,2.0,1.0,1.0,-1.4328061709989384,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0
653.0,32.0,1.0,0.12512923546820195,1.0,1.0,1.0,-1.868518807889874,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0
785.0,37.0,5.0,0.32934225902676795,1.0,1.0,1.0,-1.3080688496359847,3,0,0,1,1,0,0,1,0,0,1,0,0,1,0
605.0,37.0,5.0,0.2774022604831444,1.0,0.0,1.0,-0.5818220690252678,4,0,1,1,0,1,0,0,1,0,0,1,0,0,0
479.0,35.0,5.0,0.19832099385728422,1.0,1.0,0.0,-0.0075267725094036965,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
685.0,37.0,5.0,0.2774022604831444,1.0,1.0,1.0,0.0032995001041632253,7,0,0,1,1,1,1,1,1,1,1,0,0,0,1
538.0,37.0,7.0,0.2774022604831444,2.0,1.0,1.0,-1.5109413178366375,4,0,1,1,0,1,0,0,1,0,1,0,0,0,0
562.0,37.0,2.0,0.3374501036036237,1.0,0.0,1.0,0.0032995001041632253,4,0,0,1,0,0,0,0,1,1,0,0,0,0,1
653.0,36.0,9.0,0.44929138399843455,1.0,0.0,1.0,0.0032995001041632253,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1
721.0,28.0,9.0,1.3565618227354794,2.0,1.0,1.0,0.0032995001041632253,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0
653.0,37.0,9.0,0.2774022604831444,2.0,1.0,1.0,0.0032995001041632253,7,1,1,1,0,1,0,1,1,1,1,0,0,0,0
668.0,37.0,6.0,0.2774022604831444,1.0,1.0,1.0,0.32947672974641046,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0
524.0,31.0,8.0,0.4798828546790541,1.0,1.0,0.0,2.079964404865918,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
699.0,34.0,4.0,0.2774022604831444,1.0,1.0,1.0,0.43764869135026213,4,0,0,0,0,1,1,1,1,0,1,0,0,0,1
653.0,34.0,8.0,0.8860212307017888,2.0,0.0,1.0,-1.2840193713369137,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1
653.0,37.0,6.0,0.712403999502296,1.0,0.0,1.0,0.00665185477881458,6,1,1,1,0,0,1,0,1,0,0,0,0,0,0
656.0,39.0,5.0,-1.5460191025156582,2.0,1.0,0.0,0.8589002067564694,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0
653.0,37.0,9.0,0.2774022604831444,1.0,1.0,1.0,0.21762297568900038,5,1,1,1,0,1,0,0,1,0,0,0,1,0,0
549.0,37.0,1.0,-1.5460191025156582,1.0,0.0,1.0,-1.8980480907097537,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0
828.0,41.0,7.0,0.2774022604831444,2.0,1.0,0.0,1.489857135840156,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0
758.0,34.0,5.0,-1.5460191025156582,2.0,1.0,1.0,0.0032995001041632253,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0
795.0,33.0,9.0,0.2774022604831444,1.0,1.0,1.0,0.31484032446399496,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0
687.0,37.0,9.0,0.7570760622815446,1.0,1.0,1.0,0.0032995001041632253,4,0,0,1,0,0,1,0,1,1,0,0,1,0,1
686.0,25.0,1.0,-1.5460191025156582,2.0,1.0,1.0,-1.7351857106476998,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0
789.0,39.0,7.0,0.7994959668893403,1.0,1.0,1.0,0.0032995001041632253,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1
653.0,34.0,5.0,-0.34977982188570444,1.0,1.0,1.0,0.0032995001041632253,3,1,0,0,0,0,0,1,0,1,1,0,0,1,0
653.0,40.0,2.0,0.961740043591778,1.0,1.0,1.0,-0.13835510175422308,6,1,1,0,0,0,1,1,1,0,0,0,0,0,0
584.0,48.0,2.0,2.4589780278375617,1.0,1.0,0.0,-0.5131562025977813,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
653.0,35.0,1.0,0.2774022604831444,2.0,0.0,1.0,-1.8989894604640787,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0
756.0,37.0,5.0,1.0366927920011217,1.0,1.0,0.0,0.0032995001041632253,4,0,0,1,1,0,0,0,0,1,0,0,0,0,1
663.0,34.0,7.0,0.2774022604831444,2.0,1.0,1.0,1.6782241411678294,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1
653.0,43.0,5.0,0.2774022604831444,1.0,1.0,1.0,1.9465850926557071,4,1,1,0,0,1,0,0,1,0,0,0,1,0,0
793.0,52.0,2.0,0.2774022604831444,1.0,1.0,1.0,1.2347390626255277,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1
691.0,37.0,5.0,0.2774022604831444,1.0,1.0,0.0,0.5496338041681721,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0
485.0,21.0,5.0,0.5801944606571686,1.0,1.0,1.0,0.0032995001041632253,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0
635.0,29.0,5.0,1.0525674443551347,1.0,1.0,1.0,0.8590174095808139,3,0,0,0,1,0,1,0,1,0,0,1,0,1,0
650.0,37.0,5.0,0.46388418894333233,1.0,0.0,1.0,-1.567902931345633,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1
735.0,44.0,9.0,0.7215774196665297,1.0,1.0,0.0,-0.5199200337980853,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
653.0,37.0,0.0,0.2774022604831444,1.0,1.0,1.0,-2.059533597805177,6,1,0,1,0,1,1,1,1,0,0,0,1,0,1
754.0,37.0,5.0,0.2774022604831444,2.0,1.0,0.0,0.0032995001041632253,5,0,1,1,1,1,0,0,0,1,0,1,0,0,0
535.0,48.0,9.0,-1.5460191025156582,1.0,1.0,0.0,0.0032995001041632253,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0
653.0,37.0,2.0,0.8517531390516365,1.0,1.0,0.0,0.0032995001041632253,3,1,0,0,0,0,0,1,0,1,0,0,1,0,1
706.0,57.0,5.0,-1.5460191025156582,1.0,1.0,1.0,-1.7043384685366585,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1
758.0,33.0,7.0,0.2774022604831444,2.0,0.0,0.0,0.0032995001041632253,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0
653.0,37.0,2.0,0.2774022604831444,2.0,1.0,1.0,0.0032995001041632253,7,1,1,1,0,1,0,1,1,1,0,1,0,0,0
646.0,73.0,6.0,0.28147309368725976,1.0,0.0,1.0,0.0032995001041632253,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0
631.0,33.0,4.0,0.2774022604831444,1.0,0.0,0.0,0.26804995925808817,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
717.0,37.0,6.0,0.2774022604831444,1.0,0.0,1.0,0.0032995001041632253,5,0,0,1,0,1,1,0,0,1,0,0,0,1,0
653.0,30.0,2.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0
800.0,49.0,7.0,0.48342907369872956,1.0,0.0,0.0,0.0032995001041632253,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0
683.0,29.0,0.0,0.9662456752281264,1.0,1.0,0.0,0.0032995001041632253,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
660.0,31.0,9.0,0.8062845721435052,2.0,1.0,1.0,0.8340138628199841,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
653.0,24.0,7.0,0.2774022604831444,1.0,1.0,1.0,1.3050953143703778,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0
615.0,41.0,9.0,0.5023292767683052,1.0,1.0,0.0,2.0128188443464,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0
667.0,37.0,2.0,-1.5460191025156582,2.0,1.0,0.0,-1.2301129419310748,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
682.0,24.0,9.0,0.2774022604831444,2.0,0.0,0.0,-0.9717034053848155,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
484.0,37.0,4.0,0.2774022604831444,1.0,1.0,0.0,1.3366216250658085,3,0,0,1,0,1,1,0,0,0,0,0,1,1,0
653.0,27.0,5.0,0.2545516675089612,1.0,1.0,1.0,1.169645488321928,3,1,0,0,0,0,1,0,1,0,1,0,0,0,1
480.0,44.0,5.0,0.2774022604831444,1.0,1.0,0.0,0.0032995001041632253,5,0,1,0,1,1,1,0,0,1,1,0,0,0,0
578.0,30.0,5.0,1.6381576932876873,1.0,1.0,1.0,0.2576316065988774,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1
653.0,40.0,5.0,0.2774022604831444,1.0,1.0,1.0,0.971064142356105,4,1,0,0,1,1,1,0,0,0,0,0,1,0,1
653.0,35.0,5.0,0.2774022604831444,1.0,1.0,1.0,-1.5097996832208218,4,1,0,0,1,1,1,0,0,0,0,1,0,1,0
510.0,30.0,0.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,3,0,0,0,0,0,1,1,0,1,0,0,1,1,0
597.0,37.0,5.0,0.37042206751585804,1.0,0.0,1.0,-0.10486423856618642,4,0,1,1,1,0,0,0,1,0,0,1,0,0,0
850.0,45.0,2.0,0.7521970752066285,1.0,1.0,1.0,0.0032995001041632253,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0
510.0,65.0,2.0,-1.5460191025156582,2.0,1.0,1.0,-1.0770962236405381,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
653.0,45.0,1.0,0.2774022604831444,1.0,1.0,0.0,0.0032995001041632253,4,1,0,0,0,1,1,0,0,1,1,0,0,1,0
636.0,42.0,2.0,-1.5460191025156582,2.0,1.0,1.0,-0.9230636087553299,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
804.0,50.0,4.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,4,0,0,0,0,0,1,1,0,1,0,0,0,1,0
514.0,32.0,5.0,0.2774022604831444,2.0,1.0,1.0,-0.08231757943042207,5,0,0,0,1,1,0,1,1,0,0,0,0,0,1
730.0,37.0,1.0,0.31438211141332395,1.0,1.0,0.0,1.9804650359124818,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0
525.0,37.0,0.0,-1.5460191025156582,1.0,0.0,1.0,0.6601308782855259,5,0,1,1,0,0,1,0,1,0,0,0,0,0,0
616.0,30.0,5.0,-1.5460191025156582,1.0,0.0,1.0,2.004669813158198,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0
653.0,37.0,8.0,-0.489747337252019,1.0,0.0,1.0,-0.1421590932448867,4,1,0,1,0,0,1,0,1,0,0,0,1,1,0
653.0,36.0,3.0,0.03849179591502622,1.0,1.0,1.0,-1.709871774169113,3,1,0,0,0,0,1,0,1,0,0,0,1,1,0
479.0,40.0,5.0,-1.5460191025156582,1.0,0.0,0.0,0.3161147750690318,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1
580.0,37.0,9.0,0.2774022604831444,1.0,1.0,0.0,0.5884368905740033,4,0,1,1,0,1,1,0,0,0,0,1,0,0,0
807.0,35.0,3.0,1.7382714415522578,1.0,1.0,1.0,-2.0653314945384156,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0
653.0,32.0,6.0,-1.5460191025156582,2.0,1.0,1.0,-1.1826443408429055,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
653.0,37.0,3.0,0.47804163175880815,1.0,1.0,1.0,1.2236495520521318,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0
501.0,57.0,5.0,-1.5460191025156582,2.0,1.0,1.0,-1.0817680989228387,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0
521.0,35.0,6.0,0.2657758180489026,1.0,1.0,0.0,0.0032995001041632253,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1
850.0,30.0,2.0,1.104109472682912,1.0,1.0,1.0,-1.9533780244013235,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
759.0,42.0,4.0,0.4348162038670963,1.0,0.0,1.0,0.0032995001041632253,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0
516.0,50.0,5.0,-1.5460191025156582,1.0,0.0,1.0,0.9645711475225365,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1
711.0,38.0,2.0,0.878293318030713,2.0,1.0,1.0,0.0032995001041632253,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0
653.0,33.0,3.0,1.773530137063573,1.0,1.0,0.0,-0.1070157326862546,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
550.0,37.0,5.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0
653.0,34.0,5.0,0.9897638735738404,1.0,1.0,1.0,1.0854890724054815,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1
643.0,45.0,5.0,0.2774022604831444,1.0,1.0,1.0,0.0032995001041632253,6,0,1,0,0,1,1,1,1,1,0,0,1,0,0
689.0,33.0,2.0,1.4944628242047777,2.0,1.0,0.0,1.448287188442566,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
620.0,41.0,9.0,-1.5460191025156582,1.0,1.0,0.0,0.0032995001041632253,5,0,1,0,0,0,1,1,0,1,0,0,0,0,0
676.0,34.0,1.0,-0.36046977538898317,1.0,1.0,1.0,0.0032995001041632253,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
653.0,37.0,5.0,0.2774022604831444,2.0,0.0,0.0,-0.8198809901196135,5,1,0,1,1,1,0,0,0,0,0,0,0,0,1
695.0,46.0,7.0,-0.615682926377072,1.0,1.0,0.0,0.0032995001041632253,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
653.0,33.0,9.0,-1.5460191025156582,1.0,0.0,0.0,1.598063654582269,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
653.0,43.0,5.0,0.2774022604831444,1.0,1.0,0.0,-1.3515458930794328,6,1,1,0,1,1,1,0,0,0,0,0,0,0,0
592.0,54.0,8.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0
726.0,31.0,5.0,0.609597469763081,2.0,1.0,1.0,-0.03399191967826393,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
514.0,37.0,5.0,-1.5460191025156582,1.0,0.0,1.0,0.5245777971733557,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0
653.0,37.0,6.0,0.2774022604831444,1.0,1.0,1.0,0.18862849581004495,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1
653.0,37.0,4.0,0.2774022604831444,1.0,1.0,0.0,2.0493103496482896,4,1,0,1,0,1,1,0,0,0,0,0,1,0,1
694.0,30.0,9.0,-1.5460191025156582,1.0,1.0,1.0,-1.5165818338679151,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0
653.0,39.0,5.0,-0.1443644322217552,3.0,1.0,1.0,-0.29279678155921207,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0
751.0,50.0,5.0,0.27450466902961723,1.0,1.0,1.0,0.0032995001041632253,4,0,0,0,1,0,1,0,1,1,1,0,0,0,1
594.0,29.0,3.0,0.9122684750413446,1.0,1.0,1.0,-0.8069485015641218,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
653.0,72.0,1.0,-1.5460191025156582,2.0,1.0,1.0,0.0032995001041632253,3,1,0,0,0,0,0,1,0,1,0,0,1,0,1
767.0,37.0,3.0,0.7034004400911907,1.0,0.0,1.0,1.0476217350146195,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1
763.0,37.0,6.0,0.33599200687323194,1.0,1.0,0.0,-1.381212988101295,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
712.0,37.0,2.0,-1.5460191025156582,1.0,1.0,1.0,0.9277047180880647,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0
539.0,43.0,3.0,0.6377532048875063,1.0,1.0,0.0,0.0032995001041632253,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0
668.0,46.0,2.0,0.2774022604831444,3.0,1.0,0.0,-0.22405847004669577,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
